vehicle_id,vehicle_type,operator,line,speed,occupancy
1330,bus,12,810,9.22,0
1519,bus,12,1109,9.75,0
1526,bus,12,785,9.48,0
415,tram,40,34,0.72,0
667,bus,47,44,13.5,0
1833,bus,12,743,15.05,0
1017,bus,22,875,2.81,0
1017,bus,6,678,11.23,0
1017,bus,22,875,8.73,0
1099,bus,22,860,10.34,0
2234,bus,12,810,4.63,0
480,bus,6,942,12.45,0
1330,bus,12,810,8.75,0
479,bus,6,942,8.64,0
1052,train,90,288,11.21,0
1057,train,90,636,15.23,0
414,bus,6,102,0.0,0
1057,train,90,636,13.53,0
10,bus,17,140,0.0,0
414,bus,6,102,10.13,0
1020,bus,22,259,5.9,0
1020,bus,22,259,7.24,0
1032,train,90,292,21.5,0
1032,train,90,292,29.79,0
1538,bus,12,226,6.43,0
667,bus,47,44,8.02,0
1535,bus,12,91,11.47,0
1017,bus,22,875,13.11,0
1375,bus,22,123,10.39,0
1017,bus,22,875,12.18,0
1410,bus,12,824,23.6,0
1033,train,90,636,3.04,0
623,tram,40,1142,12.36,0
1059,train,90,279,2.37,0
1085,bus,6,86,8.77,0
1085,bus,6,86,5.79,0
1214,bus,12,360,6.35,0
662,bus,6,369,4.12,0
925,bus,22,94,2.06,0
470,tram,40,31,3.55,0
1250,bus,22,62,7.19,0
6301,train,90,286,22.36,0
483,bus,6,866,6.45,0
423,tram,40,39,0.93,0
1213,bus,12,825,4.94,0
262,bus,6,866,7.99,0
194,bus,51,811,7.05,0
1205,bus,22,94,8.54,0
1008,train,90,636,20.89,0
1216,bus,22,945,4.77,0
1116,bus,22,1108,7.74,0
662,bus,6,369,12.55,0
1404,bus,22,624,0.1,0
624,bus,6,72,0.05,0
1030,bus,6,581,0.0,0
26,bus,17,1096,22.54,0
16,bus,17,100,8.95,0
1057,train,90,636,13.99,0
1045,train,90,292,26.55,0
1417,bus,22,73,10.94,0
1832,bus,12,1113,17.38,0
1417,bus,22,73,6.0,0
454,tram,40,38,10.03,0
9,bus,12,90,5.28,0
1701,bus,12,79,8.56,0
466,bus,6,1042,7.78,0
1053,bus,22,68,11.58,0
1212,bus,12,824,6.07,0
1409,bus,22,68,6.53,0
1020,bus,22,259,3.72,0
12,bus,12,771,6.93,0
1032,train,90,292,31.84,0
1825,bus,12,1109,7.53,0
1380,bus,22,110,8.28,0
1022,bus,22,259,21.41,0
1833,bus,12,743,15.52,0
1017,bus,6,678,6.36,0
1005,bus,22,64,10.41,0
1017,bus,6,678,0.34,0
1410,bus,12,824,23.71,0
1375,bus,22,123,9.47,0
1057,bus,22,64,5.4,0
443,tram,40,32,4.95,0
1404,bus,22,624,4.68,0
2234,bus,12,810,8.13,0
662,bus,6,369,9.0,0
946,bus,22,237,5.58,0
443,tram,40,32,5.67,0
1926,bus,12,226,7.9,0
1701,bus,12,79,8.21,0
1218,bus,22,945,7.55,0
1539,bus,12,771,9.27,0
2258,bus,12,133,6.84,0
927,bus,6,77,6.57,0
927,bus,6,77,3.95,0
1090,bus,6,102,9.27,0
1539,bus,12,771,7.19,0
667,bus,47,44,0.04,0
1402,bus,22,245,9.45,0
415,tram,40,34,6.17,0
1165,bus,22,1108,11.0,0
665,bus,47,44,6.04,0
1404,bus,22,624,3.3,0
1138,bus,22,1072,0.16,0
1045,train,90,292,22.79,0
1412,bus,22,68,5.51,0
1380,bus,22,110,7.87,0
405,tram,40,39,5.2,0
667,bus,47,44,5.24,0
1083,bus,6,80,0.62,0
1205,bus,22,94,3.34,0
667,bus,47,44,13.15,0
1005,bus,22,64,13.38,0
1008,train,90,636,19.86,0
1099,bus,22,860,3.19,0
121,tram,40,40,3.6,0
1057,bus,22,64,0.29,0
1240,bus,22,51,9.69,0
1407,bus,22,624,8.78,0
483,bus,6,866,0.42,0
1085,bus,6,86,6.39,0
665,bus,47,44,6.33,0
1250,bus,22,62,1.95,0
1407,bus,22,624,10.32,0
443,tram,40,32,5.37,0
1358,bus,22,539,7.15,0
415,bus,6,753,6.65,0
423,tram,40,39,4.22,0
1076,bus,6,973,18.49,0
457,tram,40,34,4.63,0
1053,bus,22,68,12.48,0
1519,bus,12,1109,10.25,0
1287,bus,22,259,9.21,0
1402,bus,22,245,2.06,0
1831,bus,12,1113,11.09,0
965,bus,6,56,10.52,0
1216,bus,22,945,6.85,0
439,tram,40,30,1.03,0
1412,bus,22,68,3.73,0
97,tram,40,30,3.04,0
623,tram,40,1142,3.47,0
1068,bus,22,621,3.07,0
1033,train,90,636,11.27,0
20,bus,12,90,10.83,0
928,bus,22,786,11.95,0
943,bus,6,77,8.79,0
1250,bus,22,62,2.98,0
925,bus,22,94,7.87,0
1111,bus,22,1108,16.03,0
1404,bus,22,624,9.56,0
2260,bus,12,138,11.0,0
2260,bus,12,138,8.27,0
1045,train,90,292,27.63,0
1519,bus,12,1109,10.2,0
454,tram,40,38,10.34,0
407,tram,40,992,0.0,0
103,tram,40,40,7.92,0
97,tram,40,30,5.2,0
1083,bus,6,80,11.63,0
1108,bus,6,964,2.2,0
1017,bus,6,678,6.52,0
1005,bus,22,64,11.14,0
1372,bus,22,110,0.0,0
1535,bus,12,91,11.48,0
623,tram,40,1142,8.42,0
1159,bus,22,1072,5.72,0
1820,bus,12,1113,3.64,0
1099,bus,22,860,1.39,0
1111,bus,22,1108,16.75,0
1162,bus,22,1072,3.46,0
1358,bus,22,539,8.03,0
1358,bus,22,539,3.91,0
1825,bus,12,1109,3.6,0
1079,train,90,292,6.94,0
1833,bus,12,743,14.55,0
1412,bus,22,68,1.94,0
1159,bus,22,1072,16.11,0
1033,train,90,636,12.04,0
1168,bus,22,786,4.78,0
20,bus,12,90,10.55,0
1025,bus,6,678,20.36,0
1404,bus,22,624,1.9,0
1330,bus,12,810,9.56,0
2222,bus,12,809,0.04,0
1030,bus,6,581,0.08,0
1701,bus,12,79,8.55,0
466,bus,6,1042,6.47,0
466,bus,6,1042,7.99,0
979,bus,22,657,0.0,0
1075,train,90,292,25.83,0
1804,bus,12,354,1.31,0
1409,bus,22,68,9.52,0
474,bus,6,459,9.33,0
1519,bus,12,1109,10.08,0
1362,bus,22,117,8.37,0
1218,bus,22,945,9.73,0
1096,bus,22,1039,4.47,0
10,bus,17,140,1.65,0
1199,bus,22,109,7.2,0
2258,bus,12,133,8.85,0
1287,bus,22,259,8.97,0
1538,bus,12,226,2.48,0
1380,bus,22,110,7.31,0
1216,bus,22,945,10.03,0
965,bus,6,56,8.61,0
12,bus,12,771,9.75,0
439,tram,40,30,1.39,0
1535,bus,12,91,11.53,0
627,bus,6,1107,8.39,0
943,bus,6,77,8.54,0
1059,train,90,279,2.88,0
1085,bus,6,86,9.04,0
925,bus,22,94,7.46,0
1240,bus,22,51,0.52,0
3,bus,17,1095,0.89,0
1214,bus,12,360,3.03,0
439,tram,40,30,3.5,0
1212,bus,12,824,8.65,0
1287,bus,22,259,5.84,0
1287,bus,22,259,5.62,0
1205,bus,22,94,5.71,0
1402,bus,22,245,5.72,0
1216,bus,22,945,4.6,0
12,bus,12,771,7.64,0
421,tram,40,1145,11.27,0
928,bus,22,786,5.74,0
1008,bus,6,1110,7.96,0
226,bus,6,72,8.55,0
