stop1,stop2
1250501.0,1250551
1250551.0,1260103
1260103.0,1260105
1260105.0,1260106
1260106.0,1260113
1260113.0,1260180
1260180.0,1270103
1270103.0,1270105
1270105.0,1270107
1270107.0,1281107
1281107.0,1281112
1281112.0,1281115
1281115.0,1282102
1282102.0,1282103
1282103.0,1282104
1282104.0,1282106
1282106.0,1282110
1282110.0,1282136
1282136.0,1282142
1282142.0,1282146
1282146.0,1282402
1282402.0,1282403
1282403.0,1283187
1283187.0,1284115
1284115.0,1284116
1284116.0,1284149
1284149.0,1284151
1284151.0,1284152
1284152.0,1284153
1284153.0,1284156
1284156.0,1284172
1284172.0,1284174
1284174.0,1284175
1284175.0,1284178
1284178.0,1284182
1284182.0,1284186
1284186.0,1284301
1284301.0,1284403
1284403.0,1284404
1284404.0,1285161
1285161.0,1285163
1285163.0,1285184
1285184.0,1285401
1285401.0,1285402
1285402.0,1285404
1285404.0,1285551
1285551.0,1286134
1286134.0,1286160
1286160.0,1286401
1286401.0,1286402
1286402.0,1291106
1291106.0,1291107
1291107.0,1291118
1291118.0,1291120
1291120.0,1291121
1291121.0,1291123
1291123.0,1291124
1291124.0,1291128
1291128.0,1291138
1291138.0,1291139
1291139.0,1291144
1291144.0,1291167
1291167.0,1291181
1291181.0,1291219
1291219.0,1291220
1291220.0,1291404
1291404.0,1291407
1291407.0,1291502
1291502.0,1291503
1291503.0,1292122
1292122.0,1292123
1292123.0,1293124
1293124.0,1293130
1293130.0,1293131
1293131.0,1293132
1293132.0,1293133
1293133.0,1293135
1293135.0,1293136
1293136.0,1293150
1293150.0,1293152
1293152.0,1293163
1293163.0,1293173
1293173.0,1293402
1293402.0,1293404
1293404.0,1294121
1294121.0,1294124
1294124.0,1294137
1294137.0,1294140
1294140.0,1294141
1294141.0,1294180
1294180.0,1294201
1294201.0,1294502
1294502.0,1301122
1301122.0,1301123
1301123.0,1301125
1301125.0,1301145
1301145.0,1301147
1301147.0,1301149
1301149.0,1301158
1301158.0,1301452
1301452.0,1301454
1301454.0,1301456
1301456.0,1302216
1302216.0,1302218
1302218.0,1302219
1302219.0,1303114
1303114.0,1303298
1303298.0,1304104
1304104.0,1304127
1304127.0,1304130
1304130.0,1304133
1304133.0,1304136
1304136.0,1304144
1304144.0,1304159
1304159.0,1304161
1304161.0,1310101
1310101.0,1310102
1310102.0,1310106
1310106.0,1310113
1310113.0,1310119
1310119.0,1310121
1310121.0,1310128
1310128.0,1310140
1310140.0,1310152
1310152.0,1320102
1320102.0,1320103
1320103.0,1320104
1320104.0,1320105
1320105.0,1320107
1320107.0,1320120
1320120.0,1320123
1320123.0,1320199
1320199.0,1320292
1320292.0,1320294
1320294.0,1331102
1331102.0,1331108
1331108.0,1331109
1331109.0,1331117
1331117.0,1331121
1331121.0,1331122
1331122.0,1331140
1331140.0,1331141
1331141.0,1331145
1331145.0,1331147
1331147.0,1331156
1331156.0,1331165
1331165.0,1331168
1331168.0,1332106
1332106.0,1332107
1332107.0,1332109
1332109.0,1332114
1332114.0,1332172
1332172.0,1332173
1332173.0,1333150
1333150.0,1333182
1333182.0,1334126
1334126.0,1334127
1334127.0,1334144
1334144.0,1334158
1334158.0,1334191
1334191.0,1334192
1334192.0,1335101
1335101.0,1341119
1341119.0,1341121
1341121.0,1341122
1341122.0,1341123
1341123.0,1342112
1342112.0,1342114
1342114.0,1342116
1342116.0,1342299
1342299.0,1351101
1351101.0,1351106
1351106.0,1351108
1351108.0,1351112
1351112.0,1351114
1351114.0,1351116
1351116.0,1351129
1351129.0,1352134
1352134.0,1352138
1352138.0,1352142
1352142.0,1353121
1353121.0,1361103
1361103.0,1362105
1362105.0,1362112
1362112.0,1362115
1362115.0,1362116
1362116.0,1362118
1362118.0,1362125
1362125.0,1362128
1362128.0,1362130
1362130.0,1362132
1362132.0,1362133
1362133.0,1362141
1362141.0,1362142
1362142.0,1362143
1362143.0,1362144
1362144.0,1362146
1362146.0,1362148
1362148.0,1362151
1362151.0,1363101
1363101.0,1363401
1363401.0,1363404
1363404.0,1364401
1364401.0,1370104
1370104.0,1370107
1370107.0,1370109
1370109.0,1370110
1370110.0,1370111
1370111.0,1370501
1370501.0,1370551
1370551.0,1381101
1381101.0,1381105
1381105.0,1381107
1381107.0,1381120
1381120.0,1381121
1381121.0,1382101
1382101.0,1382102
1382102.0,1382104
1382104.0,1382115
1382115.0,1382119
1382119.0,1382123
1382123.0,1382135
1382135.0,1382150
1382150.0,1382151
1382151.0,1382163
1382163.0,1382165
1382165.0,1382175
1382175.0,1382551
1382551.0,1383107
1383107.0,1383108
1383108.0,1383109
1383109.0,1383112
1383112.0,1383134
1383134.0,1383135
1383135.0,1383138
1383138.0,1383179
1383179.0,1383180
1383180.0,1383181
1383181.0,1385172
1385172.0,1385174
1385174.0,1391101
1391101.0,1391104
1391104.0,1391105
1391105.0,1391108
1391108.0,1391109
1391109.0,1391110
1391110.0,1391111
1391111.0,1391116
1391116.0,1391139
1391139.0,1391141
1391141.0,1392148
1392148.0,1392154
1392154.0,1392180
1392180.0,1392185
1392185.0,1392501
1392501.0,1392551
1392551.0,1401103
1401103.0,1401104
1401104.0,1401111
1401111.0,1401112
1401112.0,1401113
1401113.0,1401121
1401121.0,1401127
1401127.0,1401129
1401129.0,1401131
1401131.0,1401133
1401133.0,1401135
1401135.0,1401136
1401136.0,1401152
1401152.0,1402119
1402119.0,1402121
1402121.0,1402122
1402122.0,1402126
1402126.0,1402132
1402132.0,1402152
1402152.0,1402155
1402155.0,1402182
1402182.0,1403127
1403127.0,1403129
1403129.0,1403131
1403131.0,1403135
1403135.0,1411101
1411101.0,1411111
1411111.0,1411123
1411123.0,1411128
1411128.0,1411131
1411131.0,1411174
1411174.0,1411501
1411501.0,1412120
1412120.0,1412130
1412130.0,1412296
1412296.0,1412298
1412298.0,1413118
1413118.0,1414136
1414136.0,1414145
1414145.0,1414147
1414147.0,1414149
1414149.0,1420105
1420105.0,1420124
1420124.0,1431102
1431102.0,1431103
1431103.0,1431106
1431106.0,1431111
1431111.0,1431121
1431121.0,1431130
1431130.0,1431133
1431133.0,1431135
1431135.0,1431136
1431136.0,1431148
1431148.0,1431183
1431183.0,1431188
1431188.0,1431201
1431201.0,1431204
1431204.0,1431208
1431208.0,1432157
1432157.0,1432178
1432178.0,1433103
1433103.0,1433104
1433104.0,1433106
1433106.0,1433107
1433107.0,1433108
1433108.0,1433113
1433113.0,1433119
1433119.0,1433128
1433128.0,1433156
1433156.0,1433173
1433173.0,1434101
1434101.0,1434112
1434112.0,1434114
1434114.0,1434153
1434153.0,1434154
1434154.0,1434167
1434167.0,1434168
1434168.0,1434169
1434169.0,1434170
1434170.0,1434171
1434171.0,1434173
1434173.0,1434174
1434174.0,1434178
1434178.0,1434185
1434185.0,1451113
1451113.0,1451114
1451114.0,1451127
1451127.0,1451175
1451175.0,1451178
1451178.0,1451182
1451182.0,1451184
1451184.0,1451191
1451191.0,1451193
1451193.0,1453104
1453104.0,1453107
1453107.0,1453110
1453110.0,1453111
1453111.0,1453112
1453112.0,1453114
1453114.0,1453117
1453117.0,1453122
1453122.0,1453126
1453126.0,1453128
1453128.0,1453130
1453130.0,1453152
1453152.0,1453181
1453181.0,1453186
1453186.0,1453189
1453189.0,1453202
1453202.0,1453287
1453287.0,1454100
1454100.0,1454111
1454111.0,1454112
1454112.0,1454114
1454114.0,1454116
1454116.0,1454117
1454117.0,1454119
1454119.0,1454128
1454128.0,1454129
1454129.0,1454133
1454133.0,1454135
1454135.0,1454141
1454141.0,1454157
1454157.0,1455165
1455165.0,1455167
1455167.0,1455172
1455172.0,1456401
1456401.0,1456403
1456403.0,1456404
1456404.0,1457401
1457401.0,1457402
1457402.0,1461108
1461108.0,1463113
1463113.0,1463114
1463114.0,1463117
1463117.0,1463118
1463118.0,1464123
1464123.0,1465100
1465100.0,1465102
1465102.0,1465104
1465104.0,1465105
1465105.0,1465106
1465106.0,1465148
1465148.0,1465401
1465401.0,1465402
1465402.0,1471117
1471117.0,1471123
1471123.0,1471124
1471124.0,1471125
1471125.0,1471135
1471135.0,1471140
1471140.0,1471147
1471147.0,1471149
1471149.0,1471150
1471150.0,1471155
1471155.0,1471156
1471156.0,1471189
1471189.0,1471191
1471191.0,1472102
1472102.0,1472113
1472113.0,1472114
1472114.0,1473108
1473108.0,1473162
1473162.0,1473163
1473163.0,1473164
1473164.0,1473180
1473180.0,1473221
1473221.0,1473223
1473223.0,1474101
1474101.0,1474102
1474102.0,1474103
1474103.0,1474105
1474105.0,1474108
1474108.0,1474127
1474127.0,1491101
1491101.0,1491102
1491102.0,1491111
1491111.0,1491112
1491112.0,1491116
1491116.0,1491118
1491118.0,1491125
1491125.0,1491133
1491133.0,1491136
1491136.0,1491151
1491151.0,1491166
1491166.0,1491174
1491174.0,1491175
1491175.0,1491201
1491201.0,1492142
1492142.0,1492143
1492143.0,1492145
1492145.0,1492149
1492149.0,1492151
1492151.0,1494104
1494104.0,1494204
1494204.0,1494207
1494207.0,1494208
1494208.0,1510105
1510105.0,1531156
1531156.0,1531158
1531158.0,1541118
1541118.0,1541120
1541120.0,1541137
1541137.0,1541142
1541142.0,1541143
1541143.0,1541145
1541145.0,1541161
1541161.0,1541166
1541166.0,1541218
1541218.0,1542104
1542104.0,1542125
1542125.0,1548104
1548104.0,1600209
1600209.0,1600211
1600211.0,1600213
1600213.0,1601201
1601201.0,1601203
1601203.0,1601209
1601209.0,2111208
2111208.0,2111213
2111213.0,2111214
2111214.0,2111217
2111217.0,2111224
2111224.0,2111225
2111225.0,2111229
2111229.0,2111230
2111230.0,2111232
2111232.0,2111235
2111235.0,2111236
2111236.0,2111504
2111504.0,2112204
2112204.0,2112260
2112260.0,2112262
2112262.0,2112301
2112301.0,2112401
2112401.0,2112402
2112402.0,2112404
2112404.0,2113204
2113204.0,2113242
2113242.0,2114206
2114206.0,2114218
2114218.0,2116202
2116202.0,2116203
2116203.0,2116206
2116206.0,2116218
2116218.0,2117204
2117204.0,2117227
2117227.0,2117232
2117232.0,2117235
2117235.0,2118204
2118204.0,2118205
2118205.0,2118224
2118224.0,2118280
2118280.0,2118402
2118402.0,2118501
2118501.0,2122214
2122214.0,2122221
2122221.0,2122224
2122224.0,2131247
2131247.0,2131249
2131249.0,2131250
2131250.0,2131251
2131251.0,2131551
2131551.0,2132201
2132201.0,2132202
2132202.0,2132207
2132207.0,2132214
2132214.0,2132217
2132217.0,2132226
2132226.0,2132228
2132228.0,2132240
2132240.0,2132247
2132247.0,2132502
2132502.0,2132552
2132552.0,2133204
2133204.0,2133210
2133210.0,2133214
2133214.0,2133219
2133219.0,2141205
2141205.0,2141210
2141210.0,2141219
2141219.0,2142206
2142206.0,2142208
2142208.0,2142221
2142221.0,2142223
2142223.0,2142225
2142225.0,2143201
2143201.0,2143203
2143203.0,2143205
2143205.0,2143213
2143213.0,2143215
2143215.0,2143216
2143216.0,2143218
2143218.0,2143230
2143230.0,2143251
2143251.0,2143253
2143253.0,2151206
2151206.0,2151207
2151207.0,2151209
2151209.0,2151210
2151210.0,2151212
2151212.0,2151218
2151218.0,2151222
2151222.0,2152226
2152226.0,2152228
2152228.0,2152232
2152232.0,2152233
2152233.0,2152235
2152235.0,2152239
2152239.0,2152241
2152241.0,2152242
2152242.0,2152243
2152243.0,2152245
2152245.0,2161207
2161207.0,2161551
2161551.0,2211212
2211212.0,2211213
2211213.0,2211217
2211217.0,2211223
2211223.0,2211225
2211225.0,2211275
2211275.0,2212212
2212212.0,2212214
2212214.0,2212216
2212216.0,2212217
2212217.0,2212237
2212237.0,2212244
2212244.0,2214206
2214206.0,2214210
2214210.0,2214216
2214216.0,2214217
2214217.0,2214238
2214238.0,2214241
2214241.0,2214242
2214242.0,2214243
2214243.0,2214248
2214248.0,2214280
2214280.0,2214289
2214289.0,2215221
2215221.0,2215224
2215224.0,2215226
2215226.0,2215254
2215254.0,2215275
2215275.0,2215299
2215299.0,2222203
2222203.0,2222204
2222204.0,2222223
2222223.0,2222226
2222226.0,2222234
2222234.0,2222401
2222401.0,2222402
2222402.0,2222406
2222406.0,2222408
2222408.0,2222410
2222410.0,2231211
2231211.0,2231212
2231212.0,2231221
2231221.0,2231232
2231232.0,2231237
2231237.0,2232204
2232204.0,2232209
2232209.0,2232213
2232213.0,2232216
2232216.0,2232218
2232218.0,2232219
2232219.0,2232224
2232224.0,2232226
2232226.0,2232236
2232236.0,2232239
2232239.0,2241201
2241201.0,2241203
2241203.0,2241204
2241204.0,2241206
2241206.0,2241211
2241211.0,2241219
2241219.0,2241234
2241234.0,2242208
2242208.0,2242209
2242209.0,2242210
2242210.0,2242225
2242225.0,2242226
2242226.0,2242233
2242233.0,2242235
2242235.0,2242236
2242236.0,2252206
2252206.0,2252208
2252208.0,2252402
2252402.0,2311201
2311201.0,2311207
2311207.0,2311209
2311209.0,2311210
2311210.0,2311211
2311211.0,2311213
2311213.0,2311219
2311219.0,2311220
2311220.0,2312201
2312201.0,2312217
2312217.0,2312218
2312218.0,2312219
2312219.0,2313205
2313205.0,2314200
2314200.0,2314208
2314208.0,2314209
2314209.0,2314211
2314211.0,2314212
2314212.0,2314213
2314213.0,2314217
2314217.0,2314219
