trip_id,route_id,start_time,start_date,direction,total_stops
,4625,2025-01-31 19:18:00,2025-01-30,1,1
,4571,2025-01-31 18:43:00,2025-01-30,2,48
,6173Z,2025-01-31 18:30:00,2025-01-30,2,53
,3001Z,2025-01-31 18:19:00,2025-01-30,2,8
,2510,2025-01-31 18:24:00,2025-01-30,1,36
,1067,2025-01-31 19:14:00,2025-01-30,1,30
,1020,2025-01-31 18:50:00,2025-01-30,1,25
,1067,2025-01-31 18:54:00,2025-01-30,1,30
,1064,2025-01-31 19:11:00,2025-01-30,1,25
,4736,2025-01-31 18:49:00,2025-01-30,1,74
,1040,2025-01-31 18:56:00,2025-01-30,1,24
,1079,2025-01-31 18:52:00,2025-01-30,1,45
,1067,2025-01-31 19:04:00,2025-01-30,2,32
,3002E,2025-01-31 19:05:00,2025-01-30,2,11
,1069,2025-01-31 19:01:00,2025-01-30,2,66
,4600,2025-01-31 18:55:00,2025-01-30,2,25
,4400,2025-01-31 19:21:00,2025-01-30,1,1
,2213,2025-01-31 18:36:00,2025-01-30,1,45
,1057,2025-01-31 18:35:00,2025-01-30,2,39
,1071,2025-01-31 19:04:00,2025-01-30,2,29
,4623,2025-01-31 19:14:00,2025-01-30,1,40
,2162,2025-01-31 19:20:00,2025-01-30,1,1
,4300,2025-01-31 18:48:00,2025-01-30,1,29
,5584,2025-01-31 19:10:00,2025-01-30,1,46
,2227,2025-01-31 19:01:00,2025-01-30,1,28
,1006,2025-01-31 18:58:00,2025-01-30,1,21
,1095,2025-01-31 18:57:00,2025-01-30,2,26
,1016,2025-01-31 19:05:00,2025-01-30,1,21
,3002P,2025-01-31 19:18:00,2025-01-30,1,26
,4717,2025-01-31 18:25:00,2025-01-30,2,47
,2165,2025-01-31 19:04:00,2025-01-30,1,28
,2212,2025-01-31 18:45:00,2025-01-30,1,39
,1013,2025-01-31 19:11:00,2025-01-30,2,13
,2158,2025-01-31 18:46:00,2025-01-30,1,39
,2531,2025-01-31 18:50:00,2025-01-30,2,32
,1056,2025-01-31 18:47:00,2025-01-30,1,31
,2202,2025-01-31 18:55:00,2025-01-30,1,22
,1077,2025-01-31 18:41:00,2025-01-30,2,28
,2105,2025-01-31 19:05:00,2025-01-30,2,25
,2202,2025-01-31 19:15:00,2025-01-30,1,22
,2215,2025-01-31 19:11:00,2025-01-30,2,18
,1008,2025-01-31 19:16:00,2025-01-30,1,24
,4731,2025-01-31 19:08:00,2025-01-30,2,35
,4311,2025-01-31 19:12:00,2025-01-30,2,23
,1002,2025-01-31 18:46:00,2025-01-30,2,27
,4736,2025-01-31 19:05:00,2025-01-30,2,75
,2111,2025-01-31 19:00:00,2025-01-30,1,35
,1096,2025-01-31 19:19:00,2025-01-30,2,1
,1030,2025-01-31 18:44:00,2025-01-30,1,40
,1010,2025-01-31 19:10:00,2025-01-30,1,14
,5584,2025-01-31 18:40:00,2025-01-30,1,46
,4311,2025-01-31 19:13:00,2025-01-30,1,22
,1040,2025-01-31 18:38:00,2025-01-30,2,24
,1063,2025-01-31 18:41:00,2025-01-30,2,34
,1506,2025-01-31 19:12:00,2025-01-30,1,42
,3002U,2025-01-31 19:12:00,2025-01-30,1,15
,5520,2025-01-31 19:05:00,2025-01-30,1,37
,2582,2025-01-31 18:44:00,2025-01-30,2,41
,1078,2025-01-31 18:58:00,2025-01-30,1,24
,1052,2025-01-31 18:42:00,2025-01-30,2,41
,2533,2025-01-31 18:39:00,2025-01-30,2,44
,1007,2025-01-31 19:18:00,2025-01-30,2,1
,2227,2025-01-31 19:04:00,2025-01-30,2,24
,2015,2025-01-31 18:21:00,2025-01-30,2,34
,9977V,2025-01-31 19:20:00,2025-01-30,1,1
,4611,2025-01-31 18:26:00,2025-01-30,2,36
,1069,2025-01-31 18:19:00,2025-01-30,2,66
,3002A,2025-01-31 19:23:00,2025-01-30,1,8
,1506,2025-01-31 18:51:00,2025-01-30,1,42
,2549,2025-01-31 18:59:00,2025-01-30,2,29
,9785K,2025-01-31 18:50:00,2025-01-30,1,51
,1023,2025-01-31 19:03:00,2025-01-30,1,35
,2224,2025-01-31 19:17:00,2025-01-30,1,41
,9973,2025-01-31 18:51:00,2025-01-30,2,30
,1075,2025-01-31 18:52:00,2025-01-30,2,28
,4560,2025-01-31 19:00:00,2025-01-30,2,41
,6173Z,2025-01-31 19:02:00,2025-01-30,1,47
,1088,2025-01-31 19:09:00,2025-01-30,2,15
,1075,2025-01-31 19:12:00,2025-01-30,2,28
,1009,2025-01-31 19:19:00,2025-01-30,2,1
,1023,2025-01-31 19:19:00,2025-01-30,1,1
,5583,2025-01-31 18:56:00,2025-01-30,1,44
,3001Z,2025-01-31 19:19:00,2025-01-30,2,8
,1088,2025-01-31 19:15:00,2025-01-30,1,15
,1026,2025-01-31 19:21:00,2025-01-30,1,4
,1040,2025-01-31 19:20:00,2025-01-30,2,1
,3002U,2025-01-31 19:07:00,2025-01-30,2,15
,1042,2025-01-31 18:59:00,2025-01-30,1,25
,4717,2025-01-31 18:56:00,2025-01-30,1,48
,4522,2025-01-31 18:45:00,2025-01-30,2,34
