stop,vehicle_latitude,vehicle_longitude
2132552.0,60.216546,24.755692
4170551.0,60.280295,24.852673
1492142.0,60.164538,25.061494
4710208.0,60.326222,25.024884
2511551.0,60.188172,24.597005
4170552.0,60.282574,24.851032
1174504.0,60.202732,24.930631
1293150.0,60.219806,24.909436
4240204.0,60.32221,24.868892
4240204.0,60.322157,24.868878
4600551.0,60.303471,25.049693
1020201.0,60.171881,24.943591
4970225.0,60.300329,25.1128
1020444.0,60.170246,24.938111
4860219.0,60.355927,25.136857
1111427.0,60.17949,24.950289
1303298.0,60.181666,24.849373
1240419.0,60.203062,24.965639
1240419.0,60.203074,24.965277
1362144.0,60.234519,25.032684
2511551.0,60.189784,24.601529
1020502.0,60.17447,24.93969
1220182.0,60.195314,24.954908
2331207.0,60.189375,24.741841
1412120.0,60.269641,25.065089
2232218.0,60.159127,24.783679
1020552.0,60.17595,24.940171
2413206.0,60.154377,24.646836
1370501.0,60.242525,24.994207
4600551.0,60.30329,25.049604
1020201.0,60.171802,24.943098
1171152.0,60.197071,24.928641
9010225.0,60.419403,25.088473
2241204.0,60.194152,24.769627
1111142.0,60.178483,24.950629
2111214.0,60.221043,24.808321
2511209.0,60.194615,24.595344
2131551.0,60.217385,24.777718
1173430.0,60.20063,24.944085
1230405.0,60.206977,24.974556
2613011.0,60.200208,24.663617
1471117.0,60.236086,25.085166
1173111.0,60.200906,24.944584
2613011.0,60.200468,24.663199
2242233.0,60.203096,24.774899
4510220.0,60.286496,24.958611
4170215.0,60.277153,24.853023
2151206.0,60.224374,24.723723
1111427.0,60.179162,24.950378
4940222.0,60.281461,25.102124
1080405.0,60.166741,24.965009
2132552.0,60.216486,24.755502
1303298.0,60.181665,24.849369
1150116.0,60.191342,24.906482
1020502.0,60.173402,24.939815
1122113.0,60.191221,24.940772
2314212.0,60.160208,24.739096
4720216.0,60.331869,25.060978
2412235.0,60.136175,24.672832
4610251.0,60.293064,25.043465
4170247.0,60.277288,24.853942
4510203.0,60.285112,24.962608
1240103.0,60.203614,24.965929
4860219.0,60.355586,25.136955
1111427.0,60.179689,24.950309
4230209.0,60.32221,24.84105
5020553.0,60.976389,25.658379
2511551.0,60.18851,24.597957
2412222.0,60.139557,24.658905
1172114.0,60.210469,24.916818
2232218.0,60.159151,24.783862
2232216.0,60.159389,24.787517
1240134.0,60.205588,24.962587
6070216.0,60.090727,24.38836
1434169.0,60.191143,25.039725
1370501.0,60.242741,24.994662
2241204.0,60.194052,24.77
4120201.0,60.253887,24.820112
1420124.0,60.187489,25.007918
1282103.0,60.231746,24.934116
1391101.0,60.25402,24.994107
1080405.0,60.166719,24.965075
2132552.0,60.216574,24.755707
2132552.0,60.217057,24.759625
2412224.0,60.140136,24.660441
1020502.0,60.174717,24.93971
1601209.0,60.250248,25.214388
1434112.0,60.19323,25.034924
4600551.0,60.303289,25.049608
2311210.0,60.162861,24.738518
4970225.0,60.300343,25.112795
1362141.0,60.228764,25.013758
4970203.0,60.301818,25.116886
1020444.0,60.170663,24.937492
4970203.0,60.302104,25.117421
1391101.0,60.253749,24.994031
1491112.0,60.174701,25.040677
1111427.0,60.179538,24.950293
4230209.0,60.321958,24.841149
1453111.0,60.216443,25.096269
1331141.0,60.238928,24.875035
1020502.0,60.175213,24.939604
1465105.0,60.220093,24.862599
1465105.0,60.220098,24.862581
4610251.0,60.294028,25.044105
1172145.0,60.216673,24.918328
1172145.0,60.216729,24.918451
1020116.0,60.171074,24.942849
3170241.0,60.223942,24.708138
2412236.0,60.136044,24.672777
9651702.0,60.385637,25.025557
1301125.0,60.199992,24.88335
4860257.0,60.353485,25.137185
2211212.0,60.175162,24.805446
2132552.0,60.216771,24.756859
2211212.0,60.175007,24.804458
5020553.0,60.976393,25.658369
2511551.0,60.18981,24.601646
2434208.0,60.163179,24.671993
1402152.0,60.277115,25.034635
1293150.0,60.220257,24.90954
2322201.0,60.166242,24.749652
4680219.0,60.287868,24.990093
1434112.0,60.19323,25.034922
2242233.0,60.203096,24.774901
1434169.0,60.191027,25.039717
2412236.0,60.136112,24.673006
4170215.0,60.277073,24.853033
1240103.0,60.203595,24.965916
4150208.0,60.269594,24.853563
1150116.0,60.191346,24.906192
4170552.0,60.283359,24.850282
1283187.0,60.230704,24.942604
2412222.0,60.140089,24.657933
2331207.0,60.189445,24.741806
1601203.0,60.249952,25.219752
2331207.0,60.189245,24.741908
2211213.0,60.174613,24.802467
1471117.0,60.236079,25.08514
1020450.0,60.169093,24.950575
1383109.0,60.233044,25.012907
1113140.0,60.182312,24.956723
1173113.0,60.196753,24.941234
4240204.0,60.321813,24.86909
4510203.0,60.285325,24.962084
1111427.0,60.179494,24.950292
4860257.0,60.353926,25.137168
5020553.0,60.97641,25.657538
2511551.0,60.189275,24.600116
2412222.0,60.140022,24.658043
1203424.0,60.152996,24.91015
1402126.0,60.275317,25.035451
2211213.0,60.174476,24.801579
1171457.0,60.192569,24.929226
1220182.0,60.195265,24.955033
2613011.0,60.200358,24.663387
4150227.0,60.269631,24.841947
4680219.0,60.288071,24.991202
1020201.0,60.171731,24.943065
1020401.0,60.170304,24.94545
1020444.0,60.170552,24.937687
1020444.0,60.170642,24.937572
4510220.0,60.286492,24.958898
2152245.0,60.234193,24.716615
5020553.0,60.976418,25.657535
2411259.0,60.149599,24.656175
2511551.0,60.189781,24.601532
1174504.0,60.202487,24.930948
2423205.0,60.167655,24.616177
2211213.0,60.174658,24.802756
2211213.0,60.174704,24.803044
1402152.0,60.276603,25.034448
2232216.0,60.159384,24.787456
2314208.0,60.161378,24.740168
2222223.0,60.184986,24.81986
1370501.0,60.242535,24.994261
1391101.0,60.254019,24.994107
2132552.0,60.216485,24.755503
1303298.0,60.181514,24.848536
1220431.0,60.193013,24.943761
1111116.0,60.178456,24.950008
1150116.0,60.191347,24.906056
2511551.0,60.189788,24.601531
4150219.0,60.263901,24.858851
1220182.0,60.195304,24.954933
2412237.0,60.135216,24.669949
1173111.0,60.200926,24.944574
1173111.0,60.200906,24.944589
2611208.0,60.206033,24.658349
1240134.0,60.205602,24.962561
1020552.0,60.176149,24.940142
1020201.0,60.171852,24.943216
1362141.0,60.228715,25.013575
1150108.0,60.188738,24.912355
1150108.0,60.18873,24.912367
2311210.0,60.163004,24.738381
1320292.0,60.249032,24.835913
2412236.0,60.136228,24.673195
1111427.0,60.179482,24.950301
1451175.0,60.219875,25.099702
2322235.0,60.174874,24.737846
2211212.0,60.174873,24.803336
1492142.0,60.164535,25.061813
2511551.0,60.188896,24.599046
4720216.0,60.331923,25.060921
1465105.0,60.219946,24.863006
1471117.0,60.236037,25.085003
4810204.0,60.352665,25.065128
4600551.0,60.306085,25.050784
2152228.0,60.223537,24.694456
1370104.0,60.239797,24.979456
9651602.0,60.379639,25.023906
1282103.0,60.231747,24.934112
1451175.0,60.219822,25.10005
2511551.0,60.18755,24.595239
5020553.0,60.976391,25.658373
1111116.0,60.178728,24.949983
1173106.0,60.199931,24.93395
1020502.0,60.173748,24.939801
1351106.0,60.249303,24.934151
1020502.0,60.175394,24.939603
1465105.0,60.220066,24.862676
1203418.0,60.151194,24.916254
1171457.0,60.192575,24.929228
1220429.0,60.194406,24.94528
2142225.0,60.240043,24.738418
1150108.0,60.188499,24.912711
1320292.0,60.249366,24.835289
2715202.0,60.275847,24.749876
1111427.0,60.179253,24.95034
1220402.0,60.196668,24.943354
2211212.0,60.175104,24.80513
2411259.0,60.149563,24.656237
4170551.0,60.281304,24.852167
2511551.0,60.189635,24.601097
2511551.0,60.189781,24.601516
1283187.0,60.230067,24.942657
1465105.0,60.220014,24.862818
2423210.0,60.166055,24.615437
2434208.0,60.163398,24.671509
2611208.0,60.206024,24.658299
2322201.0,60.166255,24.749811
1240134.0,60.205648,24.962506
1020443.0,60.170211,24.938079
2241204.0,60.194126,24.769694
1230114.0,60.205897,24.972514
4510203.0,60.285133,24.962531
1111142.0,60.179231,24.950567
1122102.0,60.186505,24.941996
1111427.0,60.179488,24.950305
1173106.0,60.199944,24.933946
1362144.0,60.234508,25.032642
2511551.0,60.189532,24.600815
1601203.0,60.249974,25.220327
1412120.0,60.269643,25.064427
2131251.0,60.206158,24.752939
2613011.0,60.200413,24.663307
2613011.0,60.200423,24.663297
2311201.0,60.160702,24.740418
1220429.0,60.194434,24.945319
2222223.0,60.184986,24.819862
2413206.0,60.154373,24.646849
4150264.0,60.261072,24.856419
4240204.0,60.322271,24.8689
1293152.0,60.228176,24.906598
4600551.0,60.302652,25.049262
1150109.0,60.191048,24.907246
4970203.0,60.301744,25.116767
2715202.0,60.275392,24.749915
1301125.0,60.19983,24.883426
1080403.0,60.16737,24.96312
4830222.0,60.352688,25.081622
1121124.0,60.188223,24.9636
2511551.0,60.188929,24.599105
1293132.0,60.229811,24.895228
1020502.0,60.174291,24.939698
1331141.0,60.239027,24.874773
2511551.0,60.189785,24.601527
1220182.0,60.195362,24.954792
1020502.0,60.175815,24.939596
1240118.0,60.203673,24.965428
2331207.0,60.189405,24.741826
2423210.0,60.166134,24.615559
2331207.0,60.189313,24.741872
1130103.0,60.175877,24.922211
4610251.0,60.293792,25.043854
1240134.0,60.205612,24.962543
1020443.0,60.170441,24.937674
2232216.0,60.159462,24.78797
2142225.0,60.240036,24.738388
2242233.0,60.203143,24.774604
4830222.0,60.352653,25.080966
2715202.0,60.275918,24.749852
2715202.0,60.275933,24.749847
1282103.0,60.232103,24.933485
2132552.0,60.21655,24.755688
1111116.0,60.178513,24.950012
1293132.0,60.22981,24.895228
2511551.0,60.189786,24.601535
2632249.0,60.241415,24.713431
1465105.0,60.219991,24.862884
1174504.0,60.202134,24.931204
1471117.0,60.236159,25.08545
2131251.0,60.206283,24.753585
6070213.0,60.089476,24.382042
4240204.0,60.322019,24.868907
2231232.0,60.159983,24.789873
1362141.0,60.228717,25.013572
1362141.0,60.228718,25.013568
2432222.0,60.161774,24.6987
1020444.0,60.170302,24.938006
2715202.0,60.275447,24.749931
1122102.0,60.186714,24.942515
4860219.0,60.355973,25.13685
4170551.0,60.277897,24.852536
1111116.0,60.178682,24.950001
1240118.0,60.203947,24.965562
2412222.0,60.13977,24.658459
1412120.0,60.26963,25.064529
1291181.0,60.215549,24.883499
1383134.0,60.230739,25.004934
1020443.0,60.170131,24.938201
3170241.0,60.223971,24.709338
1150109.0,60.19124,24.907122
4510257.0,60.285728,24.946935
2412236.0,60.13635,24.673388
1391101.0,60.254119,24.994137
1220402.0,60.196632,24.943486
1111427.0,60.179491,24.950305
1201126.0,60.150199,24.881301
2211212.0,60.175061,24.804863
2152245.0,60.233838,24.716597
2211212.0,60.174983,24.80425
1240419.0,60.203062,24.965637
2314212.0,60.160207,24.739118
1453111.0,60.21615,25.095358
1111116.0,60.178335,24.94997
1362144.0,60.234511,25.032651
4170552.0,60.283202,24.850425
1283187.0,60.230462,24.942552
1020502.0,60.175978,24.93957
1174504.0,60.202885,24.930352
1383134.0,60.230687,25.005031
1020552.0,60.176051,24.940159
2613009.0,60.20243,24.662251
1113140.0,60.182277,24.956648
1456404.0,60.214717,25.058671
6070216.0,60.090657,24.388223
1020443.0,60.170237,24.938032
2322210.0,60.164288,24.739302
1240103.0,60.203641,24.965943
5020553.0,60.97639,25.658374
2511551.0,60.188557,24.598057
1283187.0,60.230874,24.942675
1240118.0,60.204052,24.965658
1402126.0,60.27531,25.035732
2311201.0,60.160787,24.740355
2412237.0,60.135029,24.669341
1402152.0,60.276752,25.034499
4610251.0,60.293094,25.043477
1220429.0,60.194444,24.945364
4810204.0,60.352685,25.064701
1020443.0,60.170216,24.938102
6070216.0,60.090829,24.388567
4810206.0,60.353029,25.06083
1362141.0,60.228637,25.013073
2241204.0,60.194123,24.769702
2412236.0,60.136323,24.673347
4860219.0,60.355998,25.136848
4860257.0,60.354008,25.137165
4170551.0,60.277781,24.852519
2211213.0,60.174966,24.804497
1383134.0,60.230788,25.004847
1020450.0,60.169036,24.950884
1293150.0,60.220338,24.909545
1456404.0,60.214305,25.059002
2152228.0,60.223546,24.693945
1150108.0,60.18865,24.912506
4120201.0,60.253942,24.819936
1020502.0,60.173404,24.939814
2423210.0,60.165878,24.615122
2331207.0,60.189345,24.741856
1173430.0,60.200671,24.944358
4690203.0,60.283523,24.983491
1383109.0,60.232932,25.012755
1383109.0,60.233173,25.013148
4240204.0,60.322012,24.86891
4810204.0,60.352662,25.065253
2142225.0,60.240044,24.738426
4600551.0,60.30516,25.050465
6070216.0,60.090741,24.388403
4810206.0,60.353129,25.059786
2241204.0,60.194126,24.769696
1230103.0,60.208096,24.974716
1362142.0,60.229169,25.012578
1362142.0,60.229166,25.012556
2511551.0,60.189728,24.601389
4720216.0,60.332059,25.060758
1412120.0,60.269627,25.064591
1230405.0,60.206896,24.975088
1020552.0,60.176281,24.940133
1293152.0,60.227962,24.90675
4600551.0,60.302809,25.049323
1230114.0,60.205924,24.97257
1020444.0,60.170647,24.937514
2322235.0,60.174875,24.737842
2132552.0,60.21689,24.758134
1362142.0,60.229148,25.012466
1492142.0,60.164533,25.061815
5020553.0,60.976394,25.658364
4710208.0,60.326295,25.024832
1173430.0,60.200659,24.944221
2611250.0,60.207755,24.6606
1465105.0,60.220093,24.862597
1291181.0,60.215665,24.883453
1171457.0,60.192464,24.929176
1220429.0,60.194449,24.945367
1456404.0,60.214713,25.058674
1020443.0,60.170349,24.937846
1150401.0,60.191013,24.908663
9651602.0,60.379513,25.0238
2241204.0,60.194193,24.769531
1465148.0,60.220865,24.876503
1230103.0,60.207848,24.97455
1150109.0,60.191086,24.907238
1020448.0,60.169137,24.94701
1150116.0,60.191337,24.906653
4520269.0,60.302518,24.955219
2511551.0,60.188977,24.599278
2412224.0,60.140313,24.660951
2511551.0,60.18981,24.601641
2412235.0,60.136156,24.672781
2311201.0,60.160883,24.740282
1383134.0,60.230736,25.004935
2322201.0,60.166244,24.749673
1240134.0,60.205637,24.962514
4240204.0,60.321996,24.868931
1370104.0,60.2399,24.979752
4240227.0,60.318767,24.869799
1111427.0,60.179486,24.950284
2322235.0,60.174875,24.737851
2132552.0,60.217049,24.759936
5020553.0,60.976397,25.658353
2632247.0,60.238769,24.708088
1150116.0,60.191346,24.906239
4120210.0,60.261713,24.806375
1230405.0,60.207017,24.97442
1203418.0,60.150918,24.915967
2434208.0,60.163145,24.672084
1020450.0,60.169135,24.950229
2412237.0,60.134688,24.668664
1020450.0,60.169086,24.950774
1111116.0,60.17835,24.949959
4600551.0,60.305409,25.050575
4600551.0,60.303289,25.049602
1020201.0,60.171618,24.943114
2412236.0,60.136088,24.672933
1020444.0,60.170641,24.937554
2432262.0,60.173107,24.689865
4150208.0,60.269485,24.853619
4170551.0,60.278198,24.852599
4170551.0,60.279475,24.852795
4150208.0,60.26947,24.853624
2411259.0,60.149575,24.656216
2511551.0,60.18906,24.599508
4150210.0,60.269804,24.846283
2511551.0,60.189818,24.601659
1203424.0,60.152995,24.910149
1230405.0,60.206928,24.9748
2322201.0,60.166248,24.749711
1020450.0,60.169101,24.950587
1111116.0,60.178446,24.949984
2242233.0,60.202997,24.775304
1220127.0,60.19816,24.961576
1362141.0,60.228677,25.013363
1150432.0,60.191131,24.911229
1020201.0,60.17153,24.943159
1320294.0,60.243302,24.846157
1451175.0,60.219795,25.100202
1331141.0,60.239202,24.874198
4150219.0,60.263885,24.858517
1220182.0,60.195285,24.954982
2211213.0,60.174635,24.802611
2613000.0,60.200843,24.665921
1402152.0,60.276827,25.034527
4150227.0,60.269633,24.842268
1172145.0,60.21678,24.918586
2232216.0,60.159434,24.787747
4600551.0,60.304924,25.050301
4600551.0,60.303295,25.049547
4600551.0,60.302734,25.049288
4600551.0,60.30265,25.049241
4240204.0,60.322013,24.868911
1150108.0,60.188596,24.912595
1301454.0,60.19582,24.873285
1173111.0,60.201013,24.944633
1122113.0,60.191226,24.940646
2511551.0,60.189838,24.601733
2211213.0,60.174493,24.80168
9070217.0,60.429869,25.116239
1172143.0,60.213866,24.917402
1150401.0,60.191028,24.908701
4600551.0,60.302659,25.049265
1370501.0,60.242521,24.994224
2242233.0,60.203124,24.77471
9651612.0,60.382772,25.025697
9651612.0,60.383001,25.025734
4970203.0,60.301671,25.11665
2432262.0,60.173125,24.690081
1220402.0,60.196592,24.943517
1240419.0,60.203079,24.965354
2723277.0,60.32801,24.7181
1351106.0,60.249311,24.934235
2511551.0,60.189811,24.601656
2423210.0,60.16598,24.615303
1402126.0,60.275308,25.035527
1171457.0,60.192578,24.929178
1412120.0,60.269679,25.064148
2412237.0,60.135018,24.669311
1020552.0,60.175646,24.940207
4680219.0,60.288022,24.990985
1370501.0,60.242527,24.994211
1370501.0,60.242529,24.994207
2152228.0,60.22354,24.693825
2311210.0,60.162717,24.738632
1020201.0,60.171388,24.943204
1150108.0,60.188597,24.912594
1230103.0,60.20802,24.974665
1230103.0,60.20779,24.974502
1391101.0,60.253956,24.994089
1491112.0,60.174701,25.040539
4860257.0,60.354168,25.13716
1474105.0,60.239058,25.067332
1282104.0,60.231554,24.93396
1282104.0,60.231506,24.934032
2322235.0,60.174875,24.737843
2211212.0,60.174945,24.803928
2132552.0,60.21696,24.758543
1351108.0,60.249662,24.941033
5020553.0,60.97639,25.658386
4170551.0,60.280123,24.852721
1283187.0,60.230632,24.94258
2331207.0,60.189358,24.74185
2412235.0,60.136134,24.672721
2131251.0,60.206258,24.75348
1100105.0,60.186836,24.969097
2322201.0,60.166264,24.749978
1456404.0,60.214767,25.058622
1020443.0,60.170212,24.938079
1020201.0,60.171469,24.943182
1173101.0,60.198495,24.940447
1420124.0,60.187422,25.007864
1020502.0,60.172781,24.940095
2132552.0,60.216554,24.755703
2152245.0,60.234381,24.716706
1351106.0,60.249363,24.934794
2412222.0,60.139547,24.658988
2131251.0,60.206216,24.753284
2412237.0,60.13504,24.669376
2613011.0,60.200421,24.663298
4600551.0,60.304551,25.050113
1150401.0,60.191091,24.908836
4830222.0,60.352648,25.080719
